Rank,Song,Artist(s),Streams (billions),Release date,Ref.
1,"""Blinding Lights""",The Weeknd,7.738,29 November 2019,[1]
2,"""Shape of You""",Ed Sheeran,4.771,6 January 2017,[2]
3,"""Sweater Weather""",The Neighbourhood,4.384,3 December 2012,[3]
4,"""Starboy""",The Weeknd and Daft Punk,4.367,21 September 2016,[4]
5,"""As It Was""",Harry Styles,4.250,1 April 2022,[5]
6,"""Someone You Loved""",Lewis Capaldi,4.225,8 November 2018,[6]
7,"""Sunflower""",Post Malone and Swae Lee,4.122,18 October 2018,[7]
8,"""One Dance""",Drake with Wizkid and Kyla,4.040,5 April 2016,[8]
9,"""Perfect""",Ed Sheeran,3.830,3 March 2017,[9]
10,"""Stay""",The Kid LAROI and Justin Bieber,3.799,9 July 2021,[10]
11,"""Believer""",Imagine Dragons,3.745,1 February 2017,[11]
12,"""Heat Waves""",Glass Animals,3.659,29 June 2020,[12]
13,"""Lovely""",Billie Eilish and Khalid,3.648,19 April 2018,[13]
14,"""I Wanna Be Yours""",Arctic Monkeys,3.601,9 September 2013,[14]
15,"""Closer""",The Chainsmokers and Halsey,3.599,29 July 2016,[15]
16,"""The Night We Met""",Lord Huron,3.597,7 April 2015,[16]
17,"""Yellow""",Coldplay,3.582,26 June 2000,[17]
18,"""Say You Won't Let Go""",James Arthur,3.527,9 September 2016,[18]
19,"""Something Just Like This""",The Chainsmokers and Coldplay,3.514,22 February 2017,[19]
20,"""Riptide""",Vance Joy,3.502,21 May 2013,[20]
21,"""Birds of a Feather""",Billie Eilish,3.477,17 May 2024,[21]
22,"""Another Love""",Tom Odell,3.433,15 October 2012,[22]
23,"""Die With A Smile""",Lady Gaga and Bruno Mars,3.422,16 August 2024,[23]
24,"""Dance Monkey""",Tones and I,3.393,10 May 2019,[24]
25,"""Take Me To Church""",Hozier,3.351,13 September 2013,[25]
26,"""Counting Stars""",OneRepublic,3.338,14 June 2013,[26]
27,"""rockstar""",Post Malone and 21 Savage,3.327,15 September 2017,[27]
28,"""Photograph""",Ed Sheeran,3.300,20 June 2014,[28]
29,"""Every Breath You Take""",The Police,3.280,20 May 1983,[29]
30,"""Señorita""",Shawn Mendes and Camila Cabello,3.244,21 June 2019,[30]
31,"""Cruel Summer""",Taylor Swift,3.242,23 August 2019,[31]
32,"""Can't Hold Us""",Macklemore and Ryan Lewis with Ray Dalton,3.204,16 August 2011,[32]
33,"""Watermelon Sugar""",Harry Styles,3.202,16 November 2019,[33]
34,"""Viva La Vida""",Coldplay,3.183,25 May 2008,[34]
35,"""Don't Start Now""",Dua Lipa,3.154,31 October 2019,[35]
36,"""Die for You""",The Weeknd,3.150,25 November 2016,[36]
37,"""Just the Way You Are""",Bruno Mars,3.122,20 July 2010,[37]
38,"""Iris""",The Goo Goo Dolls,3.111,1 April 1998,[38]
39,"""Circles""",Post Malone,3.076,30 August 2019,[39]
40,"""Lucid Dreams""",Juice Wrld,3.069,4 May 2018,[40]
41,"""Love Yourself""",Justin Bieber,3.065,9 November 2015,[41]
42,"""Goosebumps""",Travis Scott and Kendrick Lamar,3.063,2 September 2016,[42]
43,"""Bohemian Rhapsody""",Queen,3.057,31 October 1975,[43]
44,"""Locked Out Of Heaven""",Bruno Mars,3.052,1 October 2012,[44]
45,"""That's What I Like""",Bruno Mars,3.031,18 November 2016,[45]
46,"""Thinking out Loud""",Ed Sheeran,3.030,20 June 2014,[46]
47,"""In The End""",Linkin Park,3.012,24 October 2000,[47]
48,"""Mr. Brightside""",The Killers,3.011,29 September 2003,[48]
49,"""Shallow""",Lady Gaga and Bradley Cooper,3.010,27 September 2018,[49]
50,"""When I Was Your Man""",Bruno Mars,3.008,7 December 2012,[50]
51,"""Wake Me Up""",Avicii,3.002,17 June 2013,[51]
52,"""All of Me""",John Legend,2.989,12 August 2013,[52]
53,"""God's Plan""",Drake,2.987,19 January 2018,[53]
54,"""Without Me""",Eminem,2.960,13 May 2002,[54]
55,"""The Hills""",The Weeknd,2.945,27 May 2015,[55]
56,"""Thunder""",Imagine Dragons,2.943,27 April 2017,[56]
57,"""Demons""",Imagine Dragons,2.938,4 September 2012,[57]
58,"""Stressed Out""",Twenty One Pilots,2.924,28 April 2015,[58]
59,"""Let Me Love You""",DJ Snake and Justin Bieber,2.882,5 August 2016,[59]
60,"""Do I Wanna Know?""",Arctic Monkeys,2.875,19 June 2013,[60]
61,"""Bad Guy""",Billie Eilish,2.872,29 March 2019,[61]
62,"""Humble""",Kendrick Lamar,2.848,30 March 2017,[62]
63,"""All The Stars""",Kendrick Lamar and SZA,2.844,4 January 2018,[63]
64,"""No Role Modelz""",J. Cole,2.822,9 December 2014,[64]
65,"""Lose Yourself""",Eminem,2.807,28 October 2002,[65]
66,"""Espresso""",Sabrina Carpenter,2.805,11 April 2024,[66]
67,"""Unforgettable""",French Montana and Swae Lee,2.794,7 April 2017,[67]
68,"""See You Again""","Tyler, the Creator and Kali Uchis",2.791,21 July 2017,[68]
69,"""Seven""",Jung Kook and Latto,2.783,14 July 2023,[69]
70,"""Flowers""",Miley Cyrus,2.779,13 January 2023,[70]
71,"""Beautiful Things""",Benson Boone,2.769,19 January 2024,[71]
72,"""Smells Like Teen Spirit""",Nirvana,2.761,10 September 1991,[72]
73,"""Treat You Better""",Shawn Mendes,2.758,3 June 2016,[73]
74,"""Sorry""",Justin Bieber,2.749,22 October 2015,[74]
75,"""Let Her Go""",Passenger,2.749,24 July 2012,[75]
76,"""Drivers License""",Olivia Rodrigo,2.747,8 January 2021,[76]
77,"""The Scientist""",Coldplay,2.742,26 May 2002,[77]
78,"""7 Rings""",Ariana Grande,2.740,18 January 2019,[78]
79,"""Don't Stop Believin'""",Journey,2.730,19 October 1981,[79]
80,"""Kill Bill""",SZA,2.722,9 December 2022,[80]
81,"""There's Nothing Holdin' Me Back""",Shawn Mendes,2.703,20 April 2017,[81]
82,"""Creep""",Radiohead,2.700,21 September 1992,[82]
83,"""505""",Arctic Monkeys,2.670,27 April 2007,[83]
84,"""Wonderwall""",Oasis,2.665,2 October 1995,[84]
85,"""Take On Me""",a-ha,2.659,19 October 1984,[85]
86,"""Cold Heart (Pnau remix)""",Elton John and Dua Lipa with PNAU,2.627,13 August 2021,[86]
87,"""One Kiss""",Calvin Harris and Dua Lipa,2.626,6 April 2018,[87]
88,"""Save Your Tears""",The Weeknd,2.625,20 March 2020,[88]
89,"""Numb""",Linkin Park,2.614,25 March 2003,[89]
90,"""Sweet Child O' Mine""",Guns N' Roses,2.587,3 June 1988,[90]
91,"""Good 4 U""",Olivia Rodrigo,2.583,14 May 2021,[91]
92,"""Lean On""",Major Lazer and DJ Snake with M∅,2.570,2 March 2015,[92]
93,"""Don't Stop Me Now""",Queen,2.567,26 January 1979,[93]
94,"""Uptown Funk""",Mark Ronson and Bruno Mars,2.562,10 November 2014,[94]
95,"""Happier""",Marshmello and Bastille,2.556,16 August 2018,[95]
96,"""Payphone""",Maroon 5 and Wiz Khalifa,2.553,16 April 2012,[96]
97,"""Dreams""",Fleetwood Mac,2.547,4 February 1977,[97]
98,"""Sicko Mode""",Travis Scott and Drake,2.533,21 August 2018,[98]
99,"""Billie Jean""",Michael Jackson,2.525,29 November 1982,
100,"""Someone Like You""",Adele,2.524,24 January 2011,[99]
As of 11 February 2026,As of 11 February 2026,As of 11 February 2026,As of 11 February 2026,As of 11 February 2026,As of 11 February 2026
